0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBD;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBF;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD0
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x7F;0x01;0x2F;0x00;0xF4
0x14080601;8;0x02;0xD5;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xC0;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8C;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBE;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x7F;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xDA
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x7F;0x01;0x2F;0x00;0xF4
0x14080601;8;0x02;0xD5;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBF;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x7F;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD0;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBD;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x87;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF4
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBF;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x82;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBD;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080605;8;0x13;0x26;0x00;0x42;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x7F;0x01;0x2F;0x00;0xF4
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x7F;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x140811FF;4;0x09;0xA2;0x09;0x91
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBF;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8C;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBE;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x08;0x00;0x00;0x00;0x9A;0x00;0x00;0x00
0x140811FF;4;0x09;0xA2;0x09;0x91
0x14080602;8;0x09;0x91;0x00;0x00;0x00;0xE0;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080605;8;0x13;0x26;0x00;0x42;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD0
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x140811FF;4;0x09;0xA2;0x09;0x93
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF4
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x2F;0x00
0x140812FF;8;0x01;0x08;0x00;0xF3;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x7F;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x30;0x00;0xF3
0x14080601;8;0x02;0xD0;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBE;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xDA
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF4
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBE;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x7F;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD0
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x30;0x00;0xF4
0x14080601;8;0x02;0xD0;0x00;0x87;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080606;8;0xFF;0xBF;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x30;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8C;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x2F;0x00;0xF3
0x14080601;8;0x02;0xDA;0x00;0x8C;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x30;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
0x140812FF;8;0x02;0x02;0x40;0x00;0x00;0x02;0x42;0x00
0x140812FF;7;0x04;0x00;0x00;0x02;0xA6;0x00;0x01
0x140812FF;8;0x03;0x00;0x02;0x44;0x00;0x00;0x02;0xA4
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF6;0x00;0x90;0x00;0x00
0x140811FF;8;0x00;0x00;0x40;0x00;0x04;0xFF;0x81;0x00
0x140811FF;8;0x01;0x02;0x00;0x32;0x00;0x0A;0x02;0xD5
0x140811FF;8;0x02;0x00;0x0C;0x00;0x8A;0x00;0x0E;0x27
0x14080600;8;0x00;0x32;0xFF;0x81;0x01;0x30;0x00;0xF3
0x14080601;8;0x02;0xD5;0x00;0x8A;0x27;0x10;0x00;0x00
0x14080603;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080604;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x14080607;8;0x00;0x00;0x00;0x00;0x00;0x00;0x00;0x00
0x140811FF;8;0x03;0x10;0x00;0x10;0x00;0x00;0x00;0x12
0x140813FF;8;0x00;0x000x14;0x00;0x7C;0x00;0x01;0x00
0x140813FF;8;0x01;0x7E;0x00;0x00;0x00;0x80;0x00;0x00
0x140813FF;8;0x02;0x00;0x82;0x00;0x00;0x02;0x94;0x0F
0x140813FF;2;0x03;0xA0
0x140810FF;8;0x00;0x00;0x0C;0x00;0x84;0x00;0x00;0x00
0x140810FF;8;0x01;0x8E;0x00;0xF7;0x00;0x90;0x00;0x00
0x140812FF;8;0x00;0x00;0x20;0x00;0x06;0x01;0x30;0x00
0x140812FF;8;0x01;0x08;0x00;0xF4;0x02;0x3E;0x00;0x00
